nominal_coverage,cell_type,quantile,n_cal
0.8,CD4+_T_cells,0.46099934365741574,15
0.8,Dendritic_cells,0.45944273679250663,15
0.8,NK_cells,0.11925483277413418,15
0.8,B_cells,0.7818334978141106,15
0.9,CD4+_T_cells,0.5463073588863463,15
0.9,Dendritic_cells,0.8291093543003246,15
0.9,NK_cells,0.15467153700601202,15
0.9,B_cells,0.7982425170758997,15
0.95,CD4+_T_cells,0.5463073588863463,15
0.95,Dendritic_cells,0.8291093543003246,15
0.95,NK_cells,0.15467153700601202,15
0.95,B_cells,0.7982425170758997,15
