nominal_coverage,cell_type,quantile,n_cal
0.8,Monocyte,0.1327700030250745,500
0.8,NK,0.13609325864277222,500
0.8,B,0.19341665261873298,500
0.8,DC,0.13891843599076126,500
0.8,T_cell,0.13024813633437393,500
0.9,Monocyte,0.15680090606402244,500
0.9,NK,0.18196668793860962,500
0.9,B,0.20981450018624062,500
0.9,DC,0.16305942032633897,500
0.9,T_cell,0.1624694816887186,500
0.95,Monocyte,0.17137575301915214,500
0.95,NK,0.2093202173746529,500
0.95,B,0.2237337773576763,500
0.95,DC,0.18350273114448748,500
0.95,T_cell,0.1822530676509948,500
