nominal_coverage,cell_type,empirical_coverage_raw,mean_interval_width_raw,empirical_coverage_clip,mean_interval_width_clip
0.8,B,0.93,0.386624852680853,0.93,0.37148490876536017
0.8,DC,0.83,0.277751035629023,0.83,0.1777080170088534
0.8,Monocyte,0.932,0.2654823172449126,0.932,0.2381220491299076
0.8,NK,0.818,0.2721466977026688,0.818,0.189343187847102
0.8,T_cell,0.882,0.25997528132150005,0.882,0.25997340234769467
0.9,B,0.98,0.4194226910385686,0.98,0.399274488474253
0.9,DC,0.908,0.3259692359854224,0.908,0.2054595584329604
0.9,Monocyte,0.984,0.313563749339552,0.984,0.2752697715822456
0.9,NK,0.92,0.36375757852129903,0.92,0.239016005343997
0.9,T_cell,0.958,0.3248984276261371,0.958,0.3247612016411035
0.95,B,0.996,0.44712069249284714,0.996,0.42160841473697824
0.95,DC,0.948,0.3669754712313292,0.948,0.2287273666051914
0.95,Monocyte,0.998,0.34271526245943484,0.998,0.2970693673499301
0.95,NK,0.958,0.41851845192870446,0.958,0.2679006042819863
0.95,T_cell,0.97,0.36420161729442624,0.97,0.36382471762840396
