nominal_coverage,cell_type,mean_width_raw,mean_width_clip
0.8,Monocyte,0.26548231724491256,0.23812204912990756
0.8,NK,0.2721466977026688,0.189343187847102
0.8,B,0.386624852680853,0.3714849087653602
0.8,DC,0.27775103562902304,0.17770801700885336
0.8,T_cell,0.2599752813215001,0.2599734023476947
0.8,overall,0.2923960369157915,0.24732631301978353
0.9,Monocyte,0.31356374933955206,0.27526977158224564
0.9,NK,0.36375757852129903,0.239016005343997
0.9,B,0.41942269103856866,0.39927448847425295
0.9,DC,0.32596923598542243,0.20545955843296038
0.9,T_cell,0.3248984276261372,0.32476120164110356
0.9,overall,0.34952233650219583,0.2887562050949119
0.95,Monocyte,0.34271526245943484,0.29706936734993017
0.95,NK,0.41851845192870457,0.2679006042819863
0.95,B,0.4471206924928471,0.4216084147369782
0.95,DC,0.3669754712313293,0.22872736660519144
0.95,T_cell,0.36420161729442635,0.36382471762840407
0.95,overall,0.3879062990813484,0.315826094120498
