cell_type,pearson_r,p_value,split
Monocyte,0.43107852587762135,4.820112317033065e-24,calibration
NK,0.6880578577150683,2.2824684146471237e-71,calibration
B,0.1384382623442628,0.0019171302203781152,calibration
DC,0.6239507856863454,2.6617962372409673e-55,calibration
T_cell,-0.17283398169334324,0.00010263288662372527,calibration
overall,0.3273545201552997,1.5934001494134079e-63,calibration
Monocyte,0.4770918241217547,8.749935778390037e-30,test
NK,0.6467642027234266,1.4141560501933878e-60,test
B,0.04179471191942561,0.3510127762350906,test
DC,0.6174027535361938,7.237432159217471e-54,test
T_cell,0.15872462351388283,0.0003667541165147396,test
overall,0.38871438542583087,5.688915806895203e-91,test
Monocyte,0.4626582004138379,3.441675386931048e-54,overall
NK,0.6595209458438079,7.361578997432025e-126,overall
B,0.14214889343507336,6.4082055196161116e-06,overall
DC,0.6207925779343663,1.32482789972624e-107,overall
T_cell,-0.030435851353922565,0.33630831500934083,overall
overall,0.3602060438442873,4.6540095599782015e-153,overall
