method,cell_type,MAE,CCC,Pearson
NNLS (frozen baseline),Monocyte,0.06847520780622261,0.851035142141646,0.9630037318529776
NNLS (frozen baseline),NK,0.08889877725538989,0.588926630316253,0.9089462734267568
NNLS (frozen baseline),B,0.10847768778280573,0.6144912156190924,0.8498153690488991
NNLS (frozen baseline),DC,0.09148120893974017,0.6575831710439223,0.8902154449111067
NNLS (frozen baseline),T_cell,0.0654555539386488,0.8696908018726456,0.8943081113031702
CalibDeconv (ensemble mean),Monocyte,0.06542962951771829,0.8618329464231194,0.9653560748401306
CalibDeconv (ensemble mean),NK,0.07923284859498247,0.6007035425147734,0.9110391677282358
CalibDeconv (ensemble mean),B,0.10699761896839778,0.6181281238881985,0.8482533495631082
CalibDeconv (ensemble mean),DC,0.08833324629588049,0.6676969167189747,0.9113388960033749
CalibDeconv (ensemble mean),T_cell,0.06655898729880066,0.8654437031952982,0.887360395585981
nu-SVR (CIBERSORT-like),Monocyte,0.13025737161532674,0.09914201271927735,0.6869822864519468
nu-SVR (CIBERSORT-like),NK,0.11787775257164892,0.016667151537018483,0.2560745532624798
nu-SVR (CIBERSORT-like),B,0.10406351542229787,0.024524434370285658,0.371391318021702
nu-SVR (CIBERSORT-like),DC,0.12830888668907153,0.0015769820198269988,0.048488620663511325
nu-SVR (CIBERSORT-like),T_cell,0.2559359641371836,0.01380133564067514,0.6543294846907625
"OLS (naive, clip+norm)",Monocyte,0.09791396684399964,0.7653989229393414,0.973122046739153
"OLS (naive, clip+norm)",NK,0.09361590160804385,0.524098651126767,0.9151137389793721
"OLS (naive, clip+norm)",B,0.11530691443686661,0.5653483347994984,0.8886502427962063
"OLS (naive, clip+norm)",DC,0.09209002358175301,0.6520790140293315,0.8902779476779371
"OLS (naive, clip+norm)",T_cell,0.06922479693948241,0.8391269838585832,0.8917612988797415
