,Monocyte,NK,B,DC,T_cell
ext_0,0.024949772283434868,0.01535081211477518,0.017679333686828613,0.0271491426974535,0.021241284906864166
ext_1,0.02502967044711113,0.013975081034004688,0.017221424728631973,0.027821112424135208,0.019388874992728233
ext_2,0.016248371452093124,0.022719530388712883,0.015770401805639267,0.019190005958080292,0.02209983766078949
ext_3,0.02243714965879917,0.01876322366297245,0.01691332273185253,0.02437681145966053,0.0218186117708683
ext_4,0.024676265195012093,0.017766151577234268,0.017455000430345535,0.025291968137025833,0.020967945456504822
ext_5,0.015103822574019432,0.014963628724217415,0.018375327810645103,0.02022586017847061,0.007544488646090031
ext_6,0.02493934892117977,0.015279986895620823,0.022649552673101425,0.026567969471216202,0.028196347877383232
ext_7,0.01832759939134121,0.01590786874294281,0.020312754437327385,0.020218737423419952,0.025429513305425644
ext_8,0.023858925327658653,0.01585344411432743,0.016543984413146973,0.02618185058236122,0.019669175148010254
ext_9,0.02371387556195259,0.013904428109526634,0.017159588634967804,0.026848314329981804,0.020199662074446678
ext_10,0.023490067571401596,0.016161900013685226,0.01972733810544014,0.024017715826630592,0.02390991896390915
ext_11,0.02383275516331196,0.016819529235363007,0.015006117522716522,0.026532860472798347,0.017132414504885674
ext_12,0.02427198924124241,0.012026160955429077,0.01777922548353672,0.026849621906876564,0.018154202029109
ext_13,0.023070160299539566,0.016806768253445625,0.021576547995209694,0.02407999150454998,0.02659468539059162
ext_14,0.021619832143187523,0.015931744128465652,0.019660741090774536,0.024015003815293312,0.020782260224223137
ext_15,0.024900319054722786,0.0,0.02174752578139305,0.025124717503786087,0.02134433202445507
ext_16,0.023279044777154922,0.02063763700425625,0.015990933403372765,0.024570265784859657,0.020916903391480446
ext_17,0.003575908252969384,0.019993549212813377,0.02079695835709572,0.015561430715024471,0.025938333943486214
ext_18,0.024421533569693565,0.015962783247232437,0.022306984290480614,0.026259610429406166,0.02719198912382126
ext_19,0.02366509474813938,0.014523951336741447,0.022864991798996925,0.024552417919039726,0.02699165605008602
ext_20,0.023321453481912613,0.013149107806384563,0.017311854287981987,0.02424386702477932,0.013426976278424263
ext_21,0.001615647110156715,0.015830641612410545,0.02034136652946472,0.0154266981408,0.019723720848560333
ext_22,0.024713382124900818,0.00021308046416379511,0.01979024149477482,0.025923432782292366,0.019709520041942596
ext_23,0.024823497980833054,0.015894902870059013,0.016437700018286705,0.02934907004237175,0.018098965287208557
ext_24,0.024226918816566467,0.015218758024275303,0.017582450062036514,0.02503461204469204,0.02214169315993786
ext_25,0.009737947955727577,0.019012216478586197,0.02161092311143875,0.017513759434223175,0.02628772333264351
ext_26,0.023737289011478424,0.015548915602266788,0.016820179298520088,0.025459418073296547,0.020296519622206688
ext_27,0.023797696456313133,0.015271096490323544,0.01618836261332035,0.026569105684757233,0.018665840849280357
ext_28,0.02391904592514038,0.010941839776933193,0.020673394203186035,0.0259636789560318,0.020437872037291527
ext_29,0.02428622543811798,0.013997180387377739,0.018543442711234093,0.026669830083847046,0.022777488455176353
ext_30,0.02373339794576168,0.022299395874142647,0.016580592840909958,0.024875830858945847,0.022670751437544823
ext_31,0.02396613545715809,0.014139085076749325,0.02364329993724823,0.025733135640621185,0.02839304320514202
ext_32,0.025022180750966072,0.0143495574593544,0.016523180529475212,0.028240887448191643,0.018145430833101273
ext_33,0.01939290203154087,0.025328917428851128,0.0144325140863657,0.02155006118118763,0.023086966946721077
ext_34,0.02486521191895008,0.015057574957609177,0.0191513579338789,0.026085393503308296,0.024100298061966896
ext_35,0.022754156962037086,0.01526954211294651,0.017935460433363914,0.025007834658026695,0.022027015686035156
ext_36,0.025273965671658516,0.013947098515927792,0.01906508207321167,0.027200331911444664,0.02343367040157318
ext_37,0.024151206016540527,0.009749036282300949,0.02038823626935482,0.027028795331716537,0.023442011326551437
ext_38,0.02391894720494747,0.014668278396129608,0.023551901802420616,0.025420673191547394,0.02883119508624077
ext_39,0.02248445712029934,0.01873074844479561,0.020712224766612053,0.02381562441587448,0.024820435792207718
