,Monocyte,NK,B,DC,T_cell
ext_0,0.4371611017959137,0.08570148207870737,0.1843884754426073,0.22552213804728843,0.06722680263548314
ext_1,0.5955827306972443,0.038639114128862735,0.20921540607148834,0.015355017671158246,0.14120773143124632
ext_2,0.05110568829417471,0.44634291465486303,0.03506169981250125,0.19642884834125326,0.2710608488972078
ext_3,0.26222376833989364,0.3305135445976851,0.12589785776835877,0.16992342387626622,0.11144140541779633
ext_4,0.0848091284305444,0.15602680813470368,0.07811846236783498,0.505289316777032,0.17575628428988485
ext_5,0.09305222295104777,0.26069351285151243,0.5377453404838094,0.09435080081354327,0.014158122900087215
ext_6,0.20550929190340278,0.11198236953685799,0.44499189612479717,0.15595724141900993,0.08155920101593203
ext_7,0.02970791818454433,0.15130895664147495,0.28393169438677435,0.2101181636321746,0.32493326715503174
ext_8,0.5297268560565037,0.13982522873414058,0.08771379345485729,0.029606669011431667,0.21312745274306666
ext_9,0.2186413329845118,0.03742475515192475,0.05799240026794662,0.5173360772065799,0.16860543438903705
ext_10,0.09734343029091999,0.17877667596014965,0.35713708793376014,0.16381099767481686,0.20293180814035325
ext_11,0.5706423293828403,0.26759536505234954,0.024124669098277075,0.026089495415618794,0.11154814105091412
ext_12,0.35000230070904226,0.06769633321667563,0.26156187879452203,0.2917142031120749,0.029025284167685163
ext_13,0.19942127124745884,0.26587729680303296,0.34381652732251183,0.12197030876592863,0.06891459586106774
ext_14,0.026601573511078554,0.1704861527701063,0.18091650437867704,0.5951694780721147,0.026826291268023442
ext_15,0.14919669159179375,0.030252137613716375,0.4243077407374921,0.047326838356867976,0.34891659170012984
ext_16,0.28308984328600745,0.42879824181835285,0.15495845978659323,0.05374725613543939,0.07940619897360697
ext_17,0.017210677124201396,0.35533433760633326,0.3285114865180082,0.07177734699704585,0.22716615175441124
ext_18,0.22639032254893565,0.17698370403918076,0.353682118846694,0.1509638032594059,0.09198005130578399
ext_19,0.12552277872259826,0.05644758788377957,0.45421850879483844,0.14549070434534336,0.21832042025344042
ext_20,0.08753885512705784,0.1821602292219113,0.27868454122574643,0.42980635635232833,0.021810018072956072
ext_21,0.02391473209508462,0.37822626492220673,0.4006774841548413,0.15944373610990908,0.03773778271795825
ext_22,0.10018611920308619,0.006174834252891583,0.1711507055188906,0.518100809841457,0.2043875311836746
ext_23,0.6553800122231385,0.11701479813585203,0.060230280058286303,0.11130560790064506,0.056069301682078306
ext_24,0.13219838847233253,0.12335732619324093,0.1961861934019125,0.2638465195176402,0.2844115724148738
ext_25,0.050706144328845355,0.23176186169861906,0.29802746777883754,0.029924880064265816,0.3895796461294323
ext_26,0.08762060778147655,0.08423038579182654,0.04996059572361723,0.5417339602688088,0.23645445043427082
ext_27,0.44096452830510713,0.12932687119617714,0.0690934670359249,0.21072776702991966,0.14988736643287112
ext_28,0.23952394230628138,0.07704020529867274,0.5147423130188259,0.13400266316973514,0.034690876206484866
ext_29,0.37978525979192546,0.07162309258570654,0.2941826167808933,0.12841747319862057,0.1259915576428541
ext_30,0.09353647221728494,0.47457997498699306,0.05875950979024121,0.16796900609867557,0.20515503690680548
ext_31,0.24717664517620608,0.08483698511549007,0.4738884232945257,0.07537921352989799,0.11871873288388013
ext_32,0.4470423281432513,0.03144204999674625,0.058131384593173456,0.35187399556184656,0.1115102417049823
ext_33,0.04718136012613389,0.6424161339835095,0.007712528529432493,0.16099022952239425,0.14169974783852987
ext_34,0.18894809501569643,0.04128478193294453,0.2628039858899726,0.3408327435865697,0.16613039357481668
ext_35,0.2681190231657261,0.0928211001927794,0.2514657289029649,0.25161600999966416,0.13597813773886552
ext_36,0.462720243624524,0.05018446403902525,0.3868463588367304,0.02238982466187326,0.07785910883784698
ext_37,0.4320221961017711,0.01110145608300568,0.37190309314631287,0.14796663023249418,0.037006624436416
ext_38,0.23275961047324614,0.06416185904073599,0.5487226827184409,0.0013003756520623428,0.15305547211551448
ext_39,0.18202895061672697,0.3120132017338461,0.38919124611931527,0.04727510741168059,0.06949149411843118
ext_40,0.20692852960608898,0.08460486757747526,0.10826615679251726,0.11556419972819387,0.4846362462957246
ext_41,0.11907493815610731,0.11154637563331214,0.6312256965925208,0.10931693137346393,0.02883605824459568
ext_42,0.1376887294614957,0.0334695899617057,0.7577503109631188,0.05265186275246202,0.018439506861217786
ext_43,0.16764594905248648,0.11494117707393266,0.3751386651253312,0.2429929414660059,0.09928126728224379
