,Monocyte,NK,B,DC,T_cell
ext_0,0.36024680733680725,0.0932435542345047,0.1461123526096344,0.3202352225780487,0.08016204833984375
ext_1,0.48700010776519775,0.03056384064257145,0.12225829809904099,0.2133239209651947,0.14685386419296265
ext_2,0.012474856339395046,0.46683233976364136,0.07745978236198425,0.2761234939098358,0.16710954904556274
ext_3,0.18890368938446045,0.3145276606082916,0.13830728828907013,0.29930877685546875,0.05895258113741875
ext_4,0.11467739194631577,0.18390750885009766,0.1303398758172989,0.3342607915401459,0.23681442439556122
ext_5,0.010839789174497128,0.27573609352111816,0.442412406206131,0.2691972255706787,0.0018144717905670404
ext_6,0.10731009393930435,0.09913641959428787,0.3923053741455078,0.3388659358024597,0.06238217279314995
ext_7,0.017190024256706238,0.07157497107982635,0.30468136072158813,0.2776269018650055,0.3289267420768738
ext_8,0.38726556301116943,0.1400715708732605,0.1022569090127945,0.21448379755020142,0.15592218935489655
ext_9,0.268650084733963,0.02321561984717846,0.12879540026187897,0.38340824842453003,0.19593065977096558
ext_10,0.06571578234434128,0.15835608541965485,0.29300493001937866,0.3097415268421173,0.1731816530227661
ext_11,0.4450594186782837,0.23116621375083923,0.022711994126439095,0.21896123886108398,0.08210115134716034
ext_12,0.280818909406662,0.07468058168888092,0.25355786085128784,0.37488704919815063,0.01605561189353466
ext_13,0.10312128812074661,0.20821446180343628,0.3517114222049713,0.28766512870788574,0.049287691712379456
ext_14,0.025367343798279762,0.2534244656562805,0.2964365780353546,0.4024841785430908,0.022287433966994286
ext_15,0.10805878043174744,0.0,0.39234352111816406,0.21447211503982544,0.2851255536079407
ext_16,0.2278866171836853,0.42174139618873596,0.10608209669589996,0.20318175852298737,0.041108131408691406
ext_17,0.0008934868965297937,0.302640438079834,0.3326490819454193,0.21376556158065796,0.15005147457122803
ext_18,0.11196921020746231,0.13490481674671173,0.3608032464981079,0.3327697813510895,0.05955292657017708
ext_19,0.04754061996936798,0.03073818050324917,0.395791232585907,0.3225471079349518,0.20338283479213715
ext_20,0.08208059519529343,0.21972817182540894,0.31677621603012085,0.3732399642467499,0.008175051771104336
ext_21,0.0003828129847534001,0.2990998923778534,0.3969734311103821,0.2859950065612793,0.017548877745866776
ext_22,0.12744224071502686,4.184842691756785e-05,0.2639924883842468,0.3843435049057007,0.2241799533367157
ext_23,0.480897456407547,0.1294925957918167,0.034173402935266495,0.29473721981048584,0.06069932132959366
ext_24,0.10579343140125275,0.051583971828222275,0.20974144339561462,0.31303104758262634,0.3198501467704773
ext_25,0.004249325022101402,0.17980922758579254,0.33177411556243896,0.13631005585193634,0.3478572964668274
ext_26,0.12909311056137085,0.07107653468847275,0.10878989100456238,0.3497569262981415,0.34128350019454956
ext_27,0.3651109039783478,0.12798424065113068,0.048786405473947525,0.31032612919807434,0.1477922946214676
ext_28,0.1434524953365326,0.03526030480861664,0.4353678822517395,0.3693122863769531,0.01660700887441635
ext_29,0.2960938811302185,0.053200241178274155,0.22877784073352814,0.3083484172821045,0.11357962340116501
ext_30,0.04650275409221649,0.3939172625541687,0.08998721092939377,0.2658795416355133,0.20371319353580475
ext_31,0.14254388213157654,0.049402132630348206,0.4239872097969055,0.277731716632843,0.10633506625890732
ext_32,0.46823933720588684,0.04920729994773865,0.04488898813724518,0.35528650879859924,0.08237788081169128
ext_33,0.018809955567121506,0.565457820892334,0.03411239758133888,0.2862097918987274,0.09541008621454239
ext_34,0.18451379239559174,0.06382709741592407,0.2410729080438614,0.35976868867874146,0.15081748366355896
ext_35,0.23541778326034546,0.08387355506420135,0.2166028618812561,0.3091490864753723,0.15495671331882477
ext_36,0.36950546503067017,0.0393628254532814,0.28022655844688416,0.20962722599506378,0.10127788782119751
ext_37,0.2940009832382202,0.008508507162332535,0.31985339522361755,0.34479373693466187,0.03284332901239395
ext_38,0.16530011594295502,0.02309582754969597,0.4499174952507019,0.19921842217445374,0.16246816515922546
ext_39,0.1286924034357071,0.28933659195899963,0.3206372559070587,0.2004387527704239,0.06089504063129425
ext_40,0.16690115630626678,0.009452184662222862,0.12296969443559647,0.24366039037704468,0.45701664686203003
ext_41,0.038028866052627563,0.11279099434614182,0.48821377754211426,0.3402988910675049,0.020667510107159615
ext_42,0.044980525970458984,0.009739997796714306,0.6464908123016357,0.2832973003387451,0.015491396188735962
ext_43,0.13729512691497803,0.12627151608467102,0.3338698446750641,0.3474285900592804,0.05513492971658707
