interval,cell_type,coverage,n_miss,mean_width,true_mean
marginal_conformal,Monocyte,0.984,8,0.27526977158224564,0.14137994575345555
marginal_conformal,NK,0.92,40,0.239016005343997,0.13979412975493874
marginal_conformal,B,0.98,10,0.39927448847425295,0.15476403410146297
marginal_conformal,DC,0.908,46,0.20545955843296038,0.1454288335210493
marginal_conformal,T_cell,0.958,21,0.3247612016411036,0.41863305686909313
bonferroni_simultaneous_conformal,Monocyte,0.998,1,0.32164656180274137,0.14137994575345555
bonferroni_simultaneous_conformal,NK,0.988,6,0.2925928436380657,0.13979412975493874
bonferroni_simultaneous_conformal,B,0.998,1,0.4506000263421171,0.15476403410146297
bonferroni_simultaneous_conformal,DC,0.976,12,0.2486212163956089,0.1454288335210493
bonferroni_simultaneous_conformal,T_cell,0.986,7,0.4087027367324785,0.41863305686909313
