interval,type_a,type_b,phi,n_both_miss
marginal_conformal@0.80,Monocyte,NK,-0.0038709101125753826,6
marginal_conformal@0.80,Monocyte,B,-0.07410611497514001,0
marginal_conformal@0.80,Monocyte,DC,0.42764680086429024,26
marginal_conformal@0.80,Monocyte,T_cell,-0.0741732407469585,1
marginal_conformal@0.80,NK,B,-0.007516728769335293,6
marginal_conformal@0.80,NK,DC,-0.1444777017717063,5
marginal_conformal@0.80,NK,T_cell,0.11668058508642434,18
marginal_conformal@0.80,B,DC,-0.04069214710793292,4
marginal_conformal@0.80,B,T_cell,0.09403189105092616,8
marginal_conformal@0.80,DC,T_cell,-0.11602364832391837,3
marginal_conformal@0.90,Monocyte,NK,-0.037602223109147286,0
marginal_conformal@0.90,Monocyte,B,-0.01821647751609539,0
marginal_conformal@0.90,Monocyte,DC,0.29030298257072024,6
marginal_conformal@0.90,Monocyte,T_cell,-0.02669957404030067,0
marginal_conformal@0.90,NK,B,0.010531568296778494,1
marginal_conformal@0.90,NK,DC,-0.09386465089278632,0
marginal_conformal@0.90,NK,T_cell,0.15876963105153125,6
marginal_conformal@0.90,B,DC,0.00395416792612245,1
marginal_conformal@0.90,B,T_cell,0.041306895295800956,1
marginal_conformal@0.90,DC,T_cell,-0.0666488837376553,0
marginal_conformal@0.95,Monocyte,NK,-0.00937328058962517,0
marginal_conformal@0.95,Monocyte,B,-0.0028369393655811774,0
marginal_conformal@0.95,Monocyte,DC,0.19114028271636577,1
marginal_conformal@0.95,Monocyte,T_cell,-0.007872714230925441,0
marginal_conformal@0.95,NK,B,-0.01326912291598349,0
marginal_conformal@0.95,NK,DC,-0.049038750264559595,0
marginal_conformal@0.95,NK,T_cell,0.08007494860484876,2
marginal_conformal@0.95,B,DC,-0.014842184626204305,0
marginal_conformal@0.95,B,T_cell,0.1746029953705099,1
marginal_conformal@0.95,DC,T_cell,-0.041188147883028034,0
bonferroni_simultaneous_conformal,Monocyte,NK,-0.004933576626786431,0
bonferroni_simultaneous_conformal,Monocyte,B,-0.002004008016032051,0
bonferroni_simultaneous_conformal,Monocyte,DC,-0.007019892138781973,0
bonferroni_simultaneous_conformal,Monocyte,T_cell,-0.0053342736030940726,0
bonferroni_simultaneous_conformal,NK,B,-0.004933576626786426,0
bonferroni_simultaneous_conformal,NK,DC,-0.01728195471344978,0
bonferroni_simultaneous_conformal,NK,T_cell,-0.013132206736985216,0
bonferroni_simultaneous_conformal,B,DC,-0.00701989213878197,0
bonferroni_simultaneous_conformal,B,T_cell,-0.005334273603094075,0
bonferroni_simultaneous_conformal,DC,T_cell,-0.0186855666409036,0
