scenario,fraction_retained,n_retained,reject_high_mae,reject_low_mae,mean_absolute_error
baseline,1.0,500,0.07965721389053167,0.07965721389053165,0.07965721389053167
baseline,0.95,475,0.07811654356428516,0.08118588358933262,0.07811654356428516
baseline,0.9,450,0.07700329619951958,0.08254513802034807,0.07700329619951958
baseline,0.85,425,0.07619692605325129,0.08399468418750991,0.07619692605325129
baseline,0.8,400,0.07435118836568572,0.0853283495364672,0.07435118836568572
baseline,0.75,375,0.07318144610981812,0.08695462207641612,0.07318144610981812
baseline,0.7,350,0.07171424336970104,0.08834292206330659,0.07171424336970104
baseline,0.65,325,0.07052227690044668,0.08935754911097947,0.07052227690044668
baseline,0.6,300,0.0692687425165809,0.09077973330451015,0.0692687425165809
baseline,0.55,275,0.06772873154761906,0.09221346743985653,0.06772873154761906
baseline,0.5,250,0.06604819507964169,0.09326623270142165,0.06604819507964169
baseline,0.44999999999999996,224,0.06433953662894176,0.09422331835219379,0.06433953662894176
baseline,0.4,200,0.0629734347695639,0.0952399209514578,0.0629734347695639
baseline,0.35,175,0.06164230562398573,0.09662209687211805,0.06164230562398573
baseline,0.30000000000000004,150,0.05939056148739015,0.09819081177246976,0.05939056148739015
baseline,0.25,125,0.05776498933287827,0.09908451723267225,0.05776498933287827
baseline,0.19999999999999996,99,0.05674457089626982,0.10063673272136071,0.05674457089626982
baseline,0.15000000000000002,75,0.055078215540988275,0.09926551163512036,0.055078215540988275
baseline,0.09999999999999998,49,0.05271853068290709,0.10334909677915634,0.05271853068290709
baseline,0.050000000000000044,25,0.050612489613313105,0.10892995008921517,0.050612489613313105
baseline,0.0,1,0.04168020585738642,0.10529229791119246,0.04168020585738642
gaussian_noise_low,1.0,500,0.07971239440518565,0.07971239440518567,0.07971239440518565
gaussian_noise_low,0.95,475,0.07849262553278098,0.08118970771393516,0.07849262553278098
gaussian_noise_low,0.9,450,0.07738600485895002,0.08215146212597438,0.07738600485895002
gaussian_noise_low,0.85,425,0.07642309621997995,0.08349895942548273,0.07642309621997995
gaussian_noise_low,0.8,400,0.07490577784586555,0.08491449138567204,0.07490577784586555
gaussian_noise_low,0.75,375,0.07396040068107716,0.08618037616599944,0.07396040068107716
gaussian_noise_low,0.7,350,0.07273831279437813,0.0873290827225487,0.07273831279437813
gaussian_noise_low,0.65,325,0.07199346698578708,0.08855564579498608,0.07199346698578708
gaussian_noise_low,0.6,300,0.07087670529369196,0.08958161798129219,0.07087670529369196
gaussian_noise_low,0.55,275,0.06940831892377797,0.09081298671119971,0.06940831892377797
gaussian_noise_low,0.5,250,0.06740684643930607,0.09201794237106523,0.06740684643930607
gaussian_noise_low,0.44999999999999996,224,0.06623588495456868,0.09210739170097261,0.06623588495456868
gaussian_noise_low,0.4,200,0.06490855904102587,0.0929659280724262,0.06490855904102587
gaussian_noise_low,0.35,175,0.06328921325269914,0.09404754532692584,0.06328921325269914
gaussian_noise_low,0.30000000000000004,150,0.06194012166467187,0.09598525149706987,0.06194012166467187
gaussian_noise_low,0.25,125,0.06030844912274423,0.09696837557751113,0.06030844912274423
gaussian_noise_low,0.19999999999999996,99,0.0590389493066229,0.0985862972424904,0.0590389493066229
gaussian_noise_low,0.15000000000000002,75,0.05825519262350223,0.09835175078801796,0.05825519262350223
gaussian_noise_low,0.09999999999999998,49,0.05740803713551561,0.10072056330213143,0.05740803713551561
gaussian_noise_low,0.050000000000000044,25,0.05164344153894493,0.10288800298087412,0.05164344153894493
gaussian_noise_low,0.0,1,0.06768166354060795,0.12971869125921454,0.06768166354060795
gaussian_noise_medium,1.0,500,0.08145870515572401,0.08145870515572401,0.08145870515572401
gaussian_noise_medium,0.95,475,0.08004772248321351,0.08274916227708659,0.08004772248321351
gaussian_noise_medium,0.9,450,0.07881074183804172,0.08437906571486561,0.07881074183804172
gaussian_noise_medium,0.85,425,0.07764329622518702,0.0855758190255174,0.07764329622518702
gaussian_noise_medium,0.8,400,0.07583692609028975,0.08708113406133272,0.07583692609028975
gaussian_noise_medium,0.75,375,0.07425072253308741,0.08867551327187016,0.07425072253308741
gaussian_noise_medium,0.7,350,0.0724960774983113,0.09028973582037551,0.0724960774983113
gaussian_noise_medium,0.65,325,0.07173522823194269,0.09198028943797204,0.07173522823194269
gaussian_noise_medium,0.6,300,0.0707261553165016,0.09319462506114909,0.0707261553165016
gaussian_noise_medium,0.55,275,0.06933422828329332,0.09428381731081915,0.06933422828329332
gaussian_noise_medium,0.5,250,0.06753274479325087,0.09538466551819712,0.06753274479325087
gaussian_noise_medium,0.44999999999999996,224,0.06579089150833681,0.0962309411178035,0.06579089150833681
gaussian_noise_medium,0.4,200,0.06385482529758638,0.0975575299145576,0.06385482529758638
gaussian_noise_medium,0.35,175,0.061918620060120506,0.09951659087131785,0.061918620060120506
gaussian_noise_medium,0.30000000000000004,150,0.06085296693820379,0.1023715030230203,0.06085296693820379
gaussian_noise_medium,0.25,125,0.05980828080728553,0.10308265302363377,0.05980828080728553
gaussian_noise_medium,0.19999999999999996,99,0.059103612431578405,0.10363968961099682,0.059103612431578405
gaussian_noise_medium,0.15000000000000002,75,0.05812839322689469,0.10307935576210026,0.05812839322689469
gaussian_noise_medium,0.09999999999999998,49,0.05489179698342198,0.10571130413685335,0.05489179698342198
gaussian_noise_medium,0.050000000000000044,25,0.0569400198498349,0.10826737593342324,0.0569400198498349
gaussian_noise_medium,0.0,1,0.045680329549881674,0.12078138337375635,0.045680329549881674
gaussian_noise_high,1.0,500,0.08649516477787185,0.08649516477787185,0.08649516477787185
gaussian_noise_high,0.95,475,0.08559352812307704,0.08802509198553589,0.08559352812307704
gaussian_noise_high,0.9,450,0.08426684546509694,0.08911073828220299,0.08426684546509694
gaussian_noise_high,0.85,425,0.08285038879710391,0.08998209969926636,0.08285038879710391
gaussian_noise_high,0.8,400,0.08162525577197265,0.09086107421009842,0.08162525577197265
gaussian_noise_high,0.75,375,0.07991662772450403,0.09160883775814904,0.07991662772450403
gaussian_noise_high,0.7,350,0.0790840321578599,0.09231759534385894,0.0790840321578599
gaussian_noise_high,0.65,325,0.07758871638534606,0.09387669660991292,0.07758871638534606
gaussian_noise_high,0.6,300,0.0768449361479585,0.09473480783527528,0.0768449361479585
gaussian_noise_high,0.55,275,0.07591856969128843,0.09583454386550454,0.07591856969128843
gaussian_noise_high,0.5,250,0.07541290796704361,0.09757742158870007,0.07541290796704361
gaussian_noise_high,0.44999999999999996,224,0.07514057550919549,0.09950785683083005,0.07514057550919549
gaussian_noise_high,0.4,200,0.07413570019176668,0.10097050772274187,0.07413570019176668
gaussian_noise_high,0.35,175,0.07278660566122412,0.10303571179256255,0.07278660566122412
gaussian_noise_high,0.30000000000000004,150,0.07290949345723526,0.10378780755789971,0.07290949345723526
gaussian_noise_high,0.25,125,0.07115414583704023,0.1062307759379753,0.07115414583704023
gaussian_noise_high,0.19999999999999996,99,0.0688059446420725,0.10656443646590284,0.0688059446420725
gaussian_noise_high,0.15000000000000002,75,0.06673586688996949,0.1071488953355568,0.06673586688996949
gaussian_noise_high,0.09999999999999998,49,0.06310372486000872,0.10659284749528436,0.06310372486000872
gaussian_noise_high,0.050000000000000044,25,0.05742654783225485,0.1036262612189732,0.05742654783225485
gaussian_noise_high,0.0,1,0.037562463897387134,0.09357038572015668,0.037562463897387134
dropout_low,1.0,500,0.08224499752876276,0.08224499752876276,0.08224499752876276
dropout_low,0.95,475,0.08119217195604365,0.08303733660442032,0.08119217195604365
dropout_low,0.9,450,0.08068648597155975,0.08410760895066735,0.08068648597155975
dropout_low,0.85,425,0.07964881783766593,0.08547404004705222,0.07964881783766593
dropout_low,0.8,400,0.07919707774476897,0.08650250890598868,0.07919707774476897
dropout_low,0.75,375,0.0783054984332659,0.08711618034691247,0.0783054984332659
dropout_low,0.7,350,0.07761573504012372,0.08799505459562983,0.07761573504012372
dropout_low,0.65,325,0.07661815504605715,0.08898823031512546,0.07661815504605715
dropout_low,0.6,300,0.07549783741405468,0.09002272950725897,0.07549783741405468
dropout_low,0.55,275,0.07438771197199305,0.09061039709763463,0.07438771197199305
dropout_low,0.5,250,0.07275402409271763,0.09173597096480786,0.07275402409271763
dropout_low,0.44999999999999996,224,0.07178034512614524,0.09186224243701095,0.07178034512614524
dropout_low,0.4,200,0.07057839956101841,0.09236573770082486,0.07057839956101841
dropout_low,0.35,175,0.06972185092551772,0.09269484785378743,0.06972185092551772
dropout_low,0.30000000000000004,150,0.06882819770607292,0.09304661000225382,0.06882819770607292
dropout_low,0.25,125,0.06763144907431355,0.09406349481525328,0.06763144907431355
dropout_low,0.19999999999999996,99,0.06518537299670471,0.09420576707658787,0.06518537299670471
dropout_low,0.15000000000000002,75,0.06394708992512234,0.09695668244497807,0.06394708992512234
dropout_low,0.09999999999999998,49,0.06551716431803666,0.09695065467937357,0.06551716431803666
dropout_low,0.050000000000000044,25,0.06719055509126876,0.10224868341042542,0.06719055509126876
dropout_low,0.0,1,0.06646770713920237,0.13326096560377718,0.06646770713920237
dropout_medium,1.0,500,0.0943775173572327,0.09437751735723271,0.0943775173572327
dropout_medium,0.95,475,0.09270684076360444,0.095327301378187,0.09270684076360444
dropout_medium,0.9,450,0.09138048353608312,0.09577692746299249,0.09138048353608312
dropout_medium,0.85,425,0.0909925503349015,0.09623604103432191,0.0909925503349015
dropout_medium,0.8,400,0.08948960434829974,0.09746576597867569,0.08948960434829974
dropout_medium,0.75,375,0.08775117450452653,0.09825856872997452,0.08775117450452653
dropout_medium,0.7,350,0.08716965819833045,0.0985383458666958,0.08716965819833045
dropout_medium,0.65,325,0.08780984406733976,0.09999485204687875,0.08780984406733976
dropout_medium,0.6,300,0.08825905676682311,0.10080013139702544,0.08825905676682311
dropout_medium,0.55,275,0.08703837224008976,0.10159707767009225,0.08703837224008976
dropout_medium,0.5,250,0.08650065181593387,0.10225438289853153,0.08650065181593387
dropout_medium,0.44999999999999996,224,0.0850863152425718,0.10364674300957229,0.0850863152425718
dropout_medium,0.4,200,0.0847435962975436,0.10355520824284709,0.0847435962975436
dropout_medium,0.35,175,0.08394532436217572,0.10657462489560532,0.08394532436217572
dropout_medium,0.30000000000000004,150,0.08466891750181882,0.11119585539467133,0.08466891750181882
dropout_medium,0.25,125,0.0827343632390073,0.1142565459153512,0.0827343632390073
dropout_medium,0.19999999999999996,99,0.08216335577002293,0.1140135065635602,0.08216335577002293
dropout_medium,0.15000000000000002,75,0.0838458831870605,0.1135589971504429,0.0838458831870605
