scenario,score_name,retained_fraction,reject_high_mae,reject_low_mae,reject_high_delta_vs_all,reject_low_delta_vs_all
baseline,mean_std,0.9,0.07905901809214295,0.08468324665775988,-0.0026031169213852207,0.0030211116442317026
baseline,mean_std,0.75,0.07545122444096142,0.08885353667052485,-0.006210910572566758,0.007191401656996679
baseline,mean_std,0.5,0.06768862413675826,0.09563564589029805,-0.013973510876769915,0.013973510876769873
baseline,mean_std,0.25,0.06008793004253804,0.10029486673122837,-0.021574204970990135,0.01863273171770019
baseline,max_std,0.9,0.07956283516408107,0.08394798319318378,-0.002099299849447109,0.002285848179655603
baseline,max_std,0.75,0.07591842836806885,0.08746847395614941,-0.005743706645459326,0.005806338942621239
baseline,max_std,0.5,0.06933981379625055,0.09398445623080574,-0.012322321217277624,0.012322321217277568
baseline,max_std,0.25,0.06424311818566439,0.09889325494990606,-0.017419016827863787,0.01723111993637788
baseline,mean_interval_width,0.9,0.07925725134993888,0.08463488934643237,-0.002404883663589291,0.0029727543329041983
baseline,mean_interval_width,0.75,0.07574789294376794,0.08878916599748583,-0.005914242069760239,0.007127030983957658
baseline,mean_interval_width,0.5,0.06870617444639691,0.09461809558065938,-0.012955960567131261,0.012955960567131206
baseline,mean_interval_width,0.25,0.060281042061655105,0.09940486122280881,-0.02138109295187307,0.017742726209280635
baseline,max_interval_width,0.9,0.08046772289400343,0.08377644610258843,-0.0011944121195247431,0.002114311089060253
baseline,max_interval_width,0.75,0.07816644587402242,0.0866707283332289,-0.0034956891395057504,0.00500859331970073
baseline,max_interval_width,0.5,0.07217640235955464,0.09114786766750166,-0.009485732653973539,0.009485732653973483
baseline,max_interval_width,0.25,0.06663635505442593,0.09214920243204537,-0.015025779959102245,0.010487067418517196
baseline,mean_disagreement,0.9,0.08290381068315535,0.0836467106453699,0.0012416756696271708,0.00198457563184172
baseline,mean_disagreement,0.75,0.08426118358041977,0.08597647827406336,0.002599048566891596,0.004314343260535189
baseline,mean_disagreement,0.5,0.08190421100360676,0.08142005902344955,0.00024207599007858294,-0.00024207599007862457
baseline,mean_disagreement,0.25,0.06871910523192251,0.07386498931285326,-0.012943029781605664,-0.007797145700674912
baseline,max_disagreement,0.9,0.08293046515373051,0.08307407134217193,0.001268330140202334,0.0014119363286437536
