scenario,score_name,pearson_score_mae,spearman_score_mae,top10_uncertain_mae,bottom10_uncertain_mae,overall_mae,top10_minus_bottom10,auroc_fail_gt0.10,auroc_fail_gt0.15,failure_rate_gt0.10,failure_rate_gt0.15
baseline,mean_std,0.5923561597749898,0.5981666806667226,0.10509018730599501,0.05447213021544269,0.08166213501352818,0.05061805709055232,0.7840893637688199,,0.29,0.0
baseline,max_std,0.49752441136362024,0.5094081816327265,0.10055583365855197,0.06108950139662752,0.08166213501352818,0.039466332261924454,0.7477416221466731,,0.29,0.0
baseline,mean_interval_width,0.5556182450596949,0.561875559502238,0.10330608798583157,0.05490734601739021,0.08166213501352818,0.048398741968441364,0.7694609033511414,,0.29,0.0
baseline,max_interval_width,0.39366298079489953,0.4081578246312985,0.09241184408925061,0.06263333521198576,0.08166213501352818,0.029778508877264853,0.6982418649830016,,0.29,0.0
baseline,mean_disagreement,-0.050922468396316534,0.02927051708206833,0.07048705398688343,0.06380095432695253,0.08166213501352818,0.0066860996599309025,0.4706750849927149,,0.29,0.0
baseline,max_disagreement,-0.09102274464258213,-0.02089131556526226,0.07024716375170695,0.0689547080557343,0.08166213501352818,0.0012924556959726524,0.4565711510441962,,0.29,0.0
gaussian_noise_low,mean_std,0.5362548065582806,0.5357032628130513,0.09931557296826841,0.05341713965222874,0.07992628870703156,0.045898433316039676,0.7408931878987446,,0.226,0.0
gaussian_noise_low,max_std,0.47388931524220296,0.4832899331597327,0.09784219600197444,0.06241428287325165,0.07992628870703156,0.03542791312872279,0.7218677825798632,,0.226,0.0
gaussian_noise_low,mean_interval_width,0.5380365445718202,0.5382574490297961,0.09943600625140067,0.05353267782911808,0.07992628870703156,0.04590332842228259,0.7433856989321077,,0.226,0.0
gaussian_noise_low,max_interval_width,0.4433333467932317,0.45722650090600353,0.09303449117173469,0.06186192822532052,0.07992628870703156,0.03117256294641417,0.7085134115387254,,0.226,0.0
gaussian_noise_low,mean_disagreement,-0.12871599926353605,-0.07530174120696483,0.06834180108200451,0.06756395898270032,0.07992628870703156,0.0007778420993041907,0.42827742333813545,,0.226,0.0
gaussian_noise_low,max_disagreement,-0.1741214581312128,-0.13069098676394705,0.06611999135635727,0.07430938337752996,0.07992628870703156,-0.008189392021172692,0.42471015984084515,,0.226,0.0
gaussian_noise_medium,mean_std,0.5566491610092849,0.5666597386389545,0.10322917666608891,0.057166335612432465,0.08193125215842333,0.04606284105365645,0.7582141045154743,,0.27,0.0
gaussian_noise_medium,max_std,0.44988197095922555,0.4626828747314989,0.09972507875644404,0.06679442132894182,0.08193125215842333,0.032930657427502216,0.7206900050735666,,0.27,0.0
gaussian_noise_medium,mean_interval_width,0.5212314115752393,0.5358199032796132,0.10072913486766484,0.058601483155667336,0.08193125215842333,0.042127651711997505,0.7468696093353627,,0.27,0.0
gaussian_noise_medium,max_interval_width,0.38479851413337485,0.40215597662390645,0.09839102514367822,0.06735051563447561,0.08193125215842333,0.031040509509202605,0.6922171486555048,,0.27,0.0
gaussian_noise_medium,mean_disagreement,-0.12926721102330796,-0.07458308233232931,0.06643774880740487,0.06621793370660783,0.08193125215842333,0.0002198151007970356,0.43983764586504315,,0.27,0.0
gaussian_noise_medium,max_disagreement,-0.14252975248580016,-0.09325602102408409,0.06893257623731266,0.06892272888789709,0.08193125215842333,9.847349415573192e-06,0.44265854895991885,,0.27,0.0
gaussian_noise_high,mean_std,0.399307720449291,0.40937222948891794,0.09754403255655404,0.05901461176073388,0.08713090857968965,0.03852942079582016,0.7192298753999893,0.6302286670384829,0.338,0.022
