scenario,cell_type,MAE,CCC,mean_std,mean_width
baseline,Monocyte,0.061020830808402184,0.8757736054133939,0.035938922318513505,0.11513620467227884
baseline,NK,0.07594974174063686,0.6285235753249742,0.03353966547522577,0.10327444724284578
baseline,B,0.10838657603826517,0.606823407935527,0.034715305535122754,0.11061523219107766
baseline,DC,0.08630633319642297,0.6814694513455067,0.041403507967414044,0.11496076790662482
baseline,T_cell,0.06662258766893113,0.864538039659999,0.039978529386222365,0.1268892563506961
gaussian_noise_low,Monocyte,0.060921930554835094,0.8749590315254598,0.03659790750067623,0.11873734959156718
gaussian_noise_low,NK,0.07999368688543404,0.597247581297346,0.034448130391654556,0.09942965857207492
gaussian_noise_low,B,0.10751618158044733,0.6144202327626272,0.036338907169178127,0.11690750517341075
gaussian_noise_low,DC,0.08386705627816067,0.6960844629568179,0.04302707443211693,0.13568171087300288
gaussian_noise_low,T_cell,0.0662631167270511,0.8632538909175017,0.0474460877366364,0.15365243838727474
gaussian_noise_medium,Monocyte,0.0643973860830362,0.8590943723086198,0.0377904614845902,0.11746613523119595
gaussian_noise_medium,NK,0.0783883611407335,0.6134958743340668,0.03500162774580531,0.1033295666507911
gaussian_noise_medium,B,0.11070487525997198,0.5954192169158606,0.03188918681070209,0.10316985727474093
gaussian_noise_medium,DC,0.08606828033031302,0.6667284441751303,0.046612461473872824,0.13134882266400383
gaussian_noise_medium,T_cell,0.06773462296456527,0.8569712014564917,0.04227465004101395,0.1341629940122366
gaussian_noise_high,Monocyte,0.07006524304461431,0.8307832798603967,0.03707722237310372,0.11826067643558781
gaussian_noise_high,NK,0.07357607630614683,0.634801540371994,0.035722142517915924,0.11613202675618231
gaussian_noise_high,B,0.1203808292942321,0.5372063382979952,0.035461385421454904,0.1136503365431563
gaussian_noise_high,DC,0.09404317493878035,0.6005629356308891,0.034737421120078577,0.09958357283534133
gaussian_noise_high,T_cell,0.07441050030558563,0.828829139406796,0.043462699513882395,0.139652286818251
dropout_low,Monocyte,0.06238122891875256,0.8609045409575364,0.0415117424686905,0.12036990702804178
dropout_low,NK,0.08595393150595397,0.4814572797285318,0.04087923557625618,0.11091814853259711
dropout_low,B,0.10941858640633816,0.6078520650077793,0.03705977671407163,0.1181401608013548
dropout_low,DC,0.07025179250311545,0.7685547129617406,0.05339239157570409,0.14288447400776202
dropout_low,T_cell,0.08321944830965361,0.8065619798932001,0.046451942380517725,0.14495442504668607
dropout_medium,Monocyte,0.07395679949967203,0.80871844288352,0.04540042409047601,0.14319622921163683
dropout_medium,NK,0.08216823642646333,0.5385549412354652,0.04259827536228113,0.12984062625595835
dropout_medium,B,0.12621321521560683,0.5095121194945741,0.04688031757809222,0.14859812897397207
dropout_medium,DC,0.08883543720075315,0.6369944517463364,0.048087317627388985,0.14059435528953326
dropout_medium,T_cell,0.1007138984436682,0.7338549309332689,0.05778364896774292,0.18117782903916668
dropout_high,Monocyte,0.08481584741947916,0.7284102561174347,0.05047655674822454,0.15950016737410624
dropout_high,NK,0.10354744986541357,0.3885350894185666,0.043319295377848906,0.14218613106710837
dropout_high,B,0.12936646350038022,0.4435073630311196,0.055655958239920436,0.17648959641100373
dropout_high,DC,0.09978569802521273,0.5619835224431197,0.052103092767094496,0.1566676147573162
dropout_high,T_cell,0.13357241967125202,0.573394401351749,0.07187055979669094,0.22607910830866604
low_depth_medium,Monocyte,0.06866977314951538,0.8516963652525322,0.03506146002154856,0.1117311777631985
low_depth_medium,NK,0.07273565173875422,0.6534307211723415,0.03405117653839989,0.10695977986010258
low_depth_medium,B,0.1071349698290722,0.6152007128625867,0.030852082442492247,0.0976317170704715
low_depth_medium,DC,0.09210991937791173,0.6369015124572468,0.03813859194991528,0.11842849626361385
low_depth_medium,T_cell,0.0646719198062611,0.8700041493300696,0.0423562422208488,0.13299166250228883
low_depth_high,Monocyte,0.058024891913709145,0.8843804656639932,0.04191846049626474,0.1307307398308767
low_depth_high,NK,0.08161385755590876,0.5844422961822063,0.03330284456149093,0.0952868723385036
low_depth_high,B,0.11221055044290765,0.6032572037738223,0.03335106670856476,0.10978365767654032
low_depth_high,DC,0.08456866527378756,0.6920847140664615,0.04291797028196015,0.12600787523819598
low_depth_high,T_cell,0.0662863022352702,0.8644653692390093,0.04637325074896216,0.14692388520389796
